SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
418961,12.94553550266739,0.0,2.3969857684155302,1,USD,0,2318
57571,10.960791617382561,0.0,2.3969857684155302,1,USD,0,237
83756,11.335675028284077,0.0,2.3969857684155302,1,USD,0,260
130566,11.77964178395677,0.0,2.3969857684155302,1,USD,0,586
191904,12.164755736893461,0.0,2.3969857684155302,1,USD,0,1230
119985,11.695130348291432,0.0,2.3969857684155302,1,USD,0,558
13451,9.50688307286016,0.0,1.790091412127358,1,USD,0,0
15065,9.62019582838564,0.0,1.790091412127358,1,USD,0,0
10761,9.283776690049365,0.0,2.3969857684155302,1,USD,0,133
607636,13.317332943175582,0.0,3.0440461338325413,1,USD,0,4031
403178,12.90713591104958,0.0,2.3969857684155302,1,USD,0,2133
123572,11.724587353540851,0.0,2.3969857684155302,1,USD,0,1113
257008,12.456866382719443,0.0,2.3969857684155302,1,USD,0,772
64566,11.075458723336263,0.0,2.3969857684155302,1,USD,0,349
57213,10.954553902664966,0.0,2.3969857684155302,1,USD,0,199
88419,11.389853467380235,0.0,2.3969857684155302,1,USD,0,382
20984,9.951563175767692,0.0,2.3969857684155302,1,USD,0,0
8967,9.101417964751995,0.0,2.3969857684155302,1,USD,0,150
153165,11.93927757954317,0.0,2.3969857684155302,1,USD,0,878
63490,11.05865344255235,0.0,2.3969857684155302,1,USD,0,327
20805,9.94299668563084,0.0,2.3969857684155302,1,USD,0,0
153165,11.93927757954317,0.0,2.3969857684155302,1,USD,0,878
1347,7.206377291472252,0.0,2.3969857684155302,1,USD,0,0
134333,11.808084515027552,0.0,2.3969857684155302,1,USD,0,404
68691,11.137388023103753,0.0,2.3969857684155302,1,USD,0,0
68512,11.134778787266075,0.0,2.3969857684155302,1,USD,0,485
21881,9.993419660036736,0.0,2.196112848483529,1,USD,0,0
81604,11.309645813584796,0.0,2.3969857684155302,1,USD,0,467
75327,11.229607190619948,0.0,2.3969857684155302,1,USD,0,399
139534,11.846070744831753,0.0,2.3969857684155302,1,USD,0,876
447657,13.011784827007274,0.0,0.5538851132264376,1,USD,0,1539
138279,11.83703589403556,0.0,0.5538851132264376,1,USD,0,540
71740,11.180817690214102,0.0,0.8064758658669485,1,USD,0,394
109224,11.601165253819637,0.0,1.2499017362143359,1,USD,0,615
7174,8.878358040627822,0.0,2.3969857684155302,1,USD,0,0
7712,8.950662495933999,0.0,2.3969857684155302,1,USD,0,0
13989,9.546098067659527,0.0,2.3969857684155302,1,USD,0,0
10940,9.30027247947679,0.0,2.3969857684155302,1,USD,0,0
7533,8.927181388251986,0.0,2.3969857684155302,1,USD,0,0
6457,8.77307495131822,0.0,2.3969857684155302,1,USD,0,0
5201,8.556798446008596,0.0,2.3969857684155302,1,USD,0,0
7353,8.902999661861218,0.0,2.3969857684155302,1,USD,0,0
4842,8.48528964240323,0.0,2.3969857684155302,1,USD,0,0
5380,8.59062950948942,0.0,2.3969857684155302,1,USD,0,0
6815,8.827028068509152,0.0,2.3969857684155302,1,USD,0,0
8788,9.081256218564645,0.0,2.3969857684155302,1,USD,0,0
9326,9.140668698726863,0.0,2.3969857684155302,1,USD,0,0
795057,13.586170346950155,0.6931471805599453,2.771963526845863,1,USD,0,2524
93979,11.450837272656807,0.0,2.3969857684155302,1,USD,0,169
12196,9.40894529884324,0.0,3.0440461338325413,1,USD,0,0
19908,9.898927169779796,0.0,1.095273387402595,1,USD,0,376
138279,11.83703589403556,0.0,1.790091412127358,1,USD,0,1710
128414,11.763022485844695,0.0,1.3837912309017721,1,USD,0,1794
291084,12.581370599721765,0.0,3.0440461338325413,1,USD,0,255
17935,9.79456514531194,0.0,1.2499017362143359,1,USD,0,0
19908,9.898927169779796,0.0,2.3969857684155302,1,USD,0,115
798823,13.590895925140055,0.0,3.0440461338325413,1,USD,0,3881
380939,12.85039716139255,0.0,3.0440461338325413,1,USD,0,1131
380939,12.85039716139255,0.0,3.0440461338325413,1,USD,0,1131
1349247,14.115057958174805,0.0,3.0440461338325413,1,USD,0,8853
